Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
Colorado,US,3/22/20 23:45,2,0,0
Colorado,US,3/22/20 23:45,2,0,0
Colorado,US,3/22/20 23:45,1,1,0
Colorado,US,3/22/20 23:45,1,0,0
Colorado,US,3/22/20 23:45,1,0,0
Colorado,US,3/22/20 23:45,1,0,0
Colorado,US,3/22/20 23:45,1,0,0
Colorado,US,3/22/20 23:45,1,0,0
Colorado,US,3/22/20 23:45,1,0,0
Colorado,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,110,1,0
Pennsylvania,US,3/22/20 23:45,96,0,0
Pennsylvania,US,3/22/20 23:45,43,0,0
Pennsylvania,US,3/22/20 23:45,40,1,0
Pennsylvania,US,3/22/20 23:45,34,0,0
Pennsylvania,US,3/22/20 23:45,31,0,0
Pennsylvania,US,3/22/20 23:45,23,0,0
Pennsylvania,US,3/22/20 23:45,21,1,0
Pennsylvania,US,3/22/20 23:45,19,1,0
Pennsylvania,US,3/22/20 23:45,13,0,0
Pennsylvania,US,3/22/20 23:45,11,0,0
Pennsylvania,US,3/22/20 23:45,10,0,0
Pennsylvania,US,3/22/20 23:45,7,0,0
Pennsylvania,US,3/22/20 23:45,7,0,0
Pennsylvania,US,3/22/20 23:45,6,0,0
Pennsylvania,US,3/22/20 23:45,6,0,0
Pennsylvania,US,3/22/20 23:45,5,0,0
Pennsylvania,US,3/22/20 23:45,4,0,0
Pennsylvania,US,3/22/20 23:45,3,0,0
Pennsylvania,US,3/22/20 23:45,3,0,0
Pennsylvania,US,3/22/20 23:45,3,0,0
Pennsylvania,US,3/22/20 23:45,2,0,0
Pennsylvania,US,3/22/20 23:45,2,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Pennsylvania,US,3/22/20 23:45,1,0,0
Tennessee,US,3/22/20 23:45,167,2,0
Tennessee,US,3/22/20 23:45,82,0,0
Tennessee,US,3/22/20 23:45,66,0,0
Tennessee,US,3/22/20 23:45,48,0,0
Tennessee,US,3/22/20 23:45,30,0,0
Tennessee,US,3/22/20 23:45,22,0,0
Tennessee,US,3/22/20 23:45,8,0,0
Tennessee,US,3/22/20 23:45,8,0,0
Tennessee,US,3/22/20 23:45,6,0,0
Tennessee,US,3/22/20 23:45,5,0,0
Tennessee,US,3/22/20 23:45,5,0,0
Tennessee,US,3/22/20 23:45,4,0,0
Tennessee,US,3/22/20 23:45,4,0,0
Tennessee,US,3/22/20 23:45,3,0,0
Tennessee,US,3/22/20 23:45,3,0,0
Tennessee,US,3/22/20 23:45,3,0,0
Tennessee,US,3/22/20 23:45,3,0,0
Tennessee,US,3/22/20 23:45,2,0,0
Tennessee,US,3/22/20 23:45,2,0,0
Tennessee,US,3/22/20 23:45,2,0,0
Tennessee,US,3/22/20 23:45,2,0,0
