Country_Region,Confirmed,Deaths,Last_Update,Latitude,Longitude,Province_State,Recovered
China,29.0,0.0,1/31/2020 23:59,26.843000000000004,107.2903,Guizhou,2.0
China,29.0,0.0,1/31/2020 23:59,35.7518,104.2861,Gansu,0.0
China,21.0,0.0,1/31/2020 23:59,,,Ningxia,0.0
China,20.0,0.0,1/31/2020 23:59,43.3782,115.0595,Inner Mongolia,1.0
China,17.0,0.0,1/31/2020 23:59,,,Xinjiang,0.0
China,14.0,0.0,1/31/2020 23:59,43.152,126.4371,Jilin,1.0
China,8.0,0.0,1/31/2020 23:59,35.7448,96.4077,Qinghai,0.0
China,1.0,0.0,1/31/2020 23:59,30.1534,88.7879,Tibet,0.0
China,7153.0,249.0,2/1/2020 11:53,30.7378,112.2384,Hubei,168.0
China,599.0,0.0,2/1/2020 10:53,29.1416,119.7889,Zhejiang,21.0
China,535.0,0.0,2/1/2020 14:23,23.379,113.7633,Guangdong,14.0
China,422.0,2.0,2/1/2020 1:52,34.2904,113.3824,Henan,3.0
China,389.0,0.0,2/1/2020 11:03,27.6253,111.8569,Hunan,8.0
China,297.0,0.0,2/1/2020 13:33,30.6007,117.9249,Anhui,5.0
China,286.0,0.0,2/1/2020 1:52,27.0875,114.9042,Jiangxi,9.0
China,247.0,1.0,2/1/2020 8:43,29.4316,106.9123,Chongqing,3.0
China,207.0,1.0,2/1/2020 1:52,30.2638,102.8055,Sichuan,3.0
China,206.0,0.0,2/1/2020 7:51,,,Shandong,3.0
China,202.0,0.0,2/1/2020 14:03,33.1402,119.7889,Jiangsu,6.0
China,169.0,1.0,2/1/2020 6:05,31.2192,121.4456,Shanghai,10.0
China,168.0,1.0,2/1/2020 9:17,40.2374,116.2305,Beijing,9.0
China,144.0,0.0,2/1/2020 5:37,26.4837,117.9249,Fujian,0.0
China,101.0,0.0,2/1/2020 5:37,35.394,109.188,Shaanxi,0.0
China,100.0,0.0,2/1/2020 1:52,23.7248,108.8076,Guangxi,2.0
China,96.0,1.0,2/1/2020 1:52,37.8957,114.9042,Hebei,0.0
China,93.0,0.0,2/1/2020 15:53,24.4753,101.3431,Yunnan,2.0
China,80.0,2.0,2/1/2020 10:33,47.1216,128.7382,Heilongjiang,2.0
China,64.0,0.0,2/1/2020 15:23,41.9437,122.529,Liaoning,1.0
China,62.0,1.0,2/1/2020 8:43,19.5664,109.9497,Hainan,1.0
China,47.0,0.0,2/1/2020 1:52,,,Shanxi,1.0
China,41.0,0.0,2/1/2020 15:43,39.3434,117.3616,Tianjin,0.0
China,40.0,0.0,2/1/2020 15:43,35.7518,104.2861,Gansu,0.0
China,29.0,0.0,1/31/2020 15:20,26.843000000000004,107.2903,Guizhou,2.0
China,26.0,0.0,2/1/2020 2:13,,,Ningxia,0.0
China,23.0,0.0,2/1/2020 5:37,43.3782,115.0595,Inner Mongolia,1.0
China,18.0,0.0,2/1/2020 5:37,,,Xinjiang,0.0
China,17.0,0.0,2/1/2020 1:52,43.152,126.4371,Jilin,1.0
China,9.0,0.0,2/1/2020 5:37,35.7448,96.4077,Qinghai,0.0
China,1.0,0.0,2/1/2020 1:52,30.1534,88.7879,Tibet,0.0
China,11177.0,350.0,2020-02-02T23:43:02,30.7378,112.2384,Hubei,295.0
China,661.0,0.0,2020-02-02T18:03:05,29.1416,119.7889,Zhejiang,32.0
